
   AIRFOIL COORDINATES
   ===================

      IB1=     10

      X        Z
    0.0000    0.0000
    0.0240    0.0210
    0.0950    0.0380
    0.2060    0.0500
    0.3450    0.0600
    0.5000    0.0580
    0.6550    0.0460
    0.7940    0.0260
    0.9050    0.0120
    1.0000    0.0000

   I    J      QF(I,J,1)     QF(I,J,2)     QF(I,J,3)
  6    3         0.5775         1.2500         0.0520
  7    3         0.7245         1.2500         0.0360
  8    3         0.8495         1.2500         0.0190
  9    3         0.9525         1.2500         0.0060
 10    3       651.0000         1.2500         0.0000
 

   I    J      QC(I,J,1)     QC(I,J,2)     QC(I,J,3)
  1    4         0.0120         1.7500         0.0105
  2    4         0.0595         1.7500         0.0295
  3    4         0.1505         1.7500         0.0440
  4    4         0.2755         1.7500         0.0550
  5    4         0.4225         1.7500         0.0590
  6    4         0.5775         1.7500         0.0520
  7    4         0.7245         1.7500         0.0360
  8    4         0.8495         1.7500         0.0190
  9    4         0.9525         1.7500         0.0060
 10    4       651.0000         1.7500         0.0000
 

   I    J      QC(I,J,1)     QC(I,J,2)     QC(I,J,3)
  1    5         0.0120         2.2500         0.0105
  2    5         0.0595         2.2500         0.0295
  3    5         0.1505         2.2500         0.0440
  4    5         0.2755         2.2500         0.0550
  5    5         0.4225         2.2500         0.0590
  6    5         0.5775         2.2500         0.0520
  7    5         0.7245         2.2500         0.0360
  8    5         0.8495         2.2500         0.0190
  9    5         0.9525         2.2500         0.0060
 10    5       651.0000         2.2500         0.0000
 

   I    J      QC(I,J,1)     QC(I,J,2)     QC(I,J,3)
  1    6         0.0120         2.7500         0.0105
  2    6         0.0595         2.7500         0.0295
  3    6         0.1505         2.7500         0.0440
  4    6         0.2755         2.7500         0.0550
  5    6         0.4225         2.7500         0.0590
  6    6         0.5775         2.7500         0.0520
  7    6         0.7245         2.7500         0.0360
  8    6         0.8495         2.7500         0.0190
  9    6         0.9525         2.7500         0.0060
 10    6       651.0000         2.7500         0.0000
 

   I    J      QC(I,J,1)     QC(I,J,2)     QC(I,J,3)
  1    7         0.0120         3.2500         0.0105
  2    7         0.0595         3.2500         0.0295
  3    7         0.1505         3.2500         0.0440
  4    7         0.2755         3.2500         0.0550
  5    7         0.4225         3.2500         0.0590
  6    7         0.5775         3.2500         0.0520
  7    7         0.7245         3.2500         0.0360
  8    7         0.8495         3.2500         0.0190
  9    7         0.9525         3.2500         0.0060
 10    7       651.0000         3.2500         0.0000
 

   I    J      QC(I,J,1)     QC(I,J,2)     QC(I,J,3)
  1    8         0.0120         3.7500         0.0105
  2    8         0.0595         3.7500         0.0295
  3    8         0.1505         3.7500         0.0440
  4    8         0.2755         3.7500         0.0550
  5    8         0.4225         3.7500         0.0590
  6    8         0.5775         3.7500         0.0520
  7    8         0.7245         3.7500         0.0360
  8    8         0.8495         3.7500         0.0190
  9    8         0.9525         3.7500         0.0060
 10    8       651.0000         3.7500         0.0000
 

   I    J      QC(I,J,1)     QC(I,J,2)     QC(I,J,3)
  1    9         0.0120         4.2500         0.0105
  2    9         0.0595         4.2500         0.0295
  3    9         0.1505         4.2500         0.0440
  4    9         0.2755         4.2500         0.0550
  5    9         0.4225         4.2500         0.0590
  6    9         0.5775         4.2500         0.0520
  7    9         0.7245         4.2500         0.0360
  8    9         0.8495         4.2500         0.0190
  9    9         0.9525         4.2500         0.0060
 10    9       651.0000         4.2500         0.0000
 

   I    J      QC(I,J,1)     QC(I,J,2)     QC(I,J,3)
  1   10         0.0120         4.7500         0.0105
  2   10         0.0595         4.7500         0.0295
  3   10         0.1505         4.7500         0.0440
  4   10         0.2755         4.7500         0.0550
  5   10         0.4225         4.7500         0.0590
  6   10         0.5775         4.7500         0.0520
  7   10         0.7245         4.7500         0.0360
  8   10         0.8495         4.7500         0.0190
  9   10         0.9525         4.7500         0.0060
 10   10       651.0000         4.7500         0.0000
 

   I    J      QC(I,J,1)     QC(I,J,2)     QC(I,J,3)
