    I    J      U1        V1        W1        U2        V2        W2        U3        V3        W3        U4        V4        W4        A1
    2    3     0.000     0.000     0.003    -0.002    -0.000    -0.024    -0.001     0.000    -0.007     0.004    -0.000     0.038     0.010
    2    4     0.000     0.000     0.002    -0.002     0.000    -0.016    -0.000    -0.000    -0.004     0.002     0.000     0.024     0.005
    2    5     0.000     0.000     0.001    -0.001    -0.000    -0.011    -0.000     0.000    -0.003     0.002    -0.000     0.016     0.003
    2    6     0.000     0.000     0.000    -0.001    -0.000    -0.008    -0.000    -0.000    -0.002     0.001     0.000     0.011     0.002
    2    7     0.000     0.000     0.000    -0.001    -0.000    -0.006    -0.000     0.000    -0.001     0.001     0.000     0.008     0.001
    2    8     0.000     0.000     0.000    -0.000    -0.000    -0.005    -0.000    -0.000    -0.001     0.001     0.000     0.006     0.001
    2    9     0.000    -0.000     0.000    -0.000     0.000    -0.003    -0.000     0.000    -0.001     0.000     0.000     0.005     0.000
    2   10     0.000     0.000     0.000    -0.000     0.000    -0.003    -0.000    -0.000    -0.001     0.000    -0.000     0.003     0.000
    2   11     0.000     0.000     0.000    -0.000     0.000    -0.002    -0.000     0.000    -0.000     0.000    -0.000     0.003     0.000
    2   12     0.000     0.000     0.000    -0.000    -0.000    -0.002    -0.000     0.000    -0.000     0.000    -0.000     0.002     0.000
    2   13     0.000     0.000     0.000    -0.000    -0.000    -0.001    -0.000    -0.000    -0.000     0.000     0.000     0.002     0.000
    3    1     0.002    -0.000     0.022    -0.001     0.000    -0.010    -0.001     0.000    -0.009     0.001     0.000     0.006     0.009
    3    2     0.001     0.000     0.012    -0.001    -0.000    -0.010    -0.001     0.000    -0.007     0.001    -0.000     0.010     0.005
    3    3     0.001    -0.000     0.007    -0.001    -0.000    -0.009    -0.000     0.000    -0.005     0.001     0.000     0.010     0.003
    3    4     0.000     0.000     0.004    -0.001    -0.000    -0.007    -0.000     0.000    -0.004     0.001     0.000     0.009     0.002
    3    5     0.000    -0.000     0.003    -0.001     0.000    -0.006    -0.000    -0.000    -0.003     0.001     0.000     0.007     0.001
    3    6     0.000     0.000     0.002    -0.000    -0.000    -0.005    -0.000     0.000    -0.002     0.001    -0.000     0.006     0.001
    3    7     0.000    -0.000     0.001    -0.000     0.000    -0.004    -0.000     0.000    -0.002     0.000     0.000     0.005     0.001
    3    8     0.000     0.000     0.001    -0.000    -0.000    -0.003    -0.000     0.000    -0.001     0.000    -0.000     0.004     0.000
    3    9     0.000    -0.000     0.001    -0.000     0.000    -0.003    -0.000     0.000    -0.001     0.000     0.000     0.003     0.000
    3   10     0.000     0.000     0.001    -0.000    -0.000    -0.002    -0.000     0.000    -0.001     0.000    -0.000     0.003     0.000
    3   11     0.000    -0.000     0.000    -0.000     0.000    -0.002    -0.000     0.000    -0.001     0.000     0.000     0.002     0.000
    3   12     0.000    -0.000     0.000    -0.000     0.000    -0.001    -0.000     0.000    -0.001     0.000    -0.000     0.002     0.000
    3   13     0.000     0.000     0.000    -0.000    -0.000    -0.001    -0.000     0.000    -0.001     0.000    -0.000     0.001     0.000
    4    1     0.001    -0.000     0.009    -0.000     0.000    -0.003    -0.000    -0.000    -0.005     0.000     0.000     0.001     0.003
    4    2     0.001    -0.000     0.007    -0.000     0.000    -0.004    -0.000    -0.000    -0.004     0.000    -0.000     0.003     0.002
    4    3     0.000    -0.000     0.005    -0.000    -0.000    -0.004    -0.000     0.000    -0.003     0.000    -0.000     0.004     0.001
    4    4     0.000    -0.000     0.004    -0.000     0.000    -0.004    -0.000    -0.000    -0.003     0.000     0.000     0.004     0.001
    4    5     0.000     0.000     0.003    -0.000    -0.000    -0.004    -0.000    -0.000    -0.002     0.000    -0.000     0.004     0.001
    4    6     0.000    -0.000     0.002    -0.000    -0.000    -0.003    -0.000     0.000    -0.002     0.000     0.000     0.004     0.001
    4    7     0.000    -0.000     0.002    -0.000    -0.000    -0.003    -0.000    -0.000    -0.002     0.000     0.000     0.003     0.000
    4    8     0.000    -0.000     0.001    -0.000    -0.000    -0.002    -0.000    -0.000    -0.001     0.000     0.000     0.003     0.000
    4    9     0.000    -0.000     0.001    -0.000    -0.000    -0.002    -0.000     0.000    -0.001     0.000     0.000     0.002     0.000
    4   10     0.000    -0.000     0.001    -0.000    -0.000    -0.002    -0.000    -0.000    -0.001     0.000     0.000     0.002     0.000
    4   11     0.000    -0.000     0.001    -0.000     0.000    -0.001    -0.000    -0.000    -0.001     0.000     0.000     0.002     0.000
